agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,floor12,8675309,p145,HARD,true,vegan,1,3,1,46,44,20,12.000,3,1,0
A14,floor12,8675309,p146,HARD,true,none,1,5,3,306,116,16,12.000,7,1,1
A14,floor12,8675309,p147,EASY,true,none,7,3,1,605,605,28,20.000,87,7,7
A14,floor12,8675309,p148,EASY,true,none,1,5,0,426,160,5,16.000,5,1,1
A14,floor12,8675309,p149,HARD,true,keto,1,2,1,37,5,3,12.000,1,1,1
A14,floor12,8675309,p150,EASY,true,mediterranean,1,3,2,814,814,5,20.000,14,1,1
A14,floor12,8675309,p151,EASY,true,none,1,5,0,728,534,5,20.000,22,1,1
A14,floor12,8675309,p152,EASY,true,keto,1,3,1,53,33,8,12.000,1,1,1
A14,floor12,8675309,p153,EASY,true,mediterranean,1,2,0,368,368,10,20.000,29,1,0
A14,floor12,8675309,p154,HARD,true,none,1,5,2,246,165,7,16.000,5,1,1
A14,floor12,8675309,p155,IMPOSSIBLE,false,vegan,1,5,1,20,20,30,12.000,2,1,0
A14,floor12,8675309,p156,EASY,true,paleo,1,5,3,164,164,40,16.000,19,1,0
A14,floor12,8675309,p157,EASY,true,vegetarian,1,3,0,327,84,3,12.000,1,1,1
A14,floor12,8675309,p158,EASY,true,kosher,1,5,1,612,450,6,20.000,15,1,1
A14,floor12,8675309,p159,HARD,true,none,1,3,3,171,111,30,12.000,11,1,1
A14,floor12,8675309,p160,IMPOSSIBLE,false,none,1,3,1,165,72,4,12.000,2,1,1
A14,floor12,8675309,p161,EASY,true,keto,1,3,1,46,46,4,12.000,0,1,1
A14,floor12,8675309,p162,EASY,true,none,1,4,1,910,283,5,20.000,10,1,1
A14,floor12,8675309,p163,HARD,true,vegetarian,7,3,2,327,327,175,20.000,158,7,4
A14,floor12,8675309,p164,HARD,true,none,1,3,1,366,236,4,20.000,7,1,1
