agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,cap200div2,424242,p167,EASY,true,none,1,5,1,247,247,6,123.000,54,1,1
A14,cap200div2,424242,p168,EASY,true,paleo,1,4,1,148,148,10,74.000,15,1,1
A14,cap200div2,424242,p169,HARD,true,none,7,4,2,143,143,42,71.000,76,7,7
A14,cap200div2,424242,p170,HARD,true,none,1,4,2,95,95,6,47.000,5,1,1
A14,cap200div2,424242,p171,ROBUSTNESS,true,none,1,9,2,413,413,11,200.000,259,1,1
A14,cap200div2,424242,p172,HARD,true,vegetarian,1,3,2,196,137,25,68.000,47,1,0
A14,cap200div2,424242,p173,EASY,true,vegan,7,3,1,169,169,140,84.000,464,7,4
A14,cap200div2,424242,p174,HARD,true,none,7,3,1,118,118,28,59.000,40,7,7
A14,cap200div2,424242,p175,IMPOSSIBLE,false,vegan,1,5,0,20,20,25,10.000,2,1,0
A14,cap200div2,424242,p176,EASY,true,none,1,5,1,910,603,6,200.000,214,1,1
A14,cap200div2,424242,p177,EASY,true,none,1,3,2,494,494,5,200.000,81,1,1
A14,cap200div2,424242,p178,EASY,true,mediterranean,1,4,3,296,296,7,148.000,10,1,1
A14,cap200div2,424242,p179,EASY,true,none,1,3,1,642,642,4,200.000,98,1,1
A14,cap200div2,424242,p180,EASY,true,none,1,5,1,336,336,6,168.000,54,1,1
A14,cap200div2,424242,p181,HARD,true,none,7,4,1,335,322,35,161.000,574,7,7
A14,cap200div2,424242,p182,EASY,true,none,7,2,1,910,910,21,200.000,878,7,7
A14,cap200div2,424242,p183,EASY,true,mediterranean,7,3,2,241,241,175,120.000,859,7,3
A14,cap200div2,424242,p184,IMPOSSIBLE,false,vegan,1,3,2,20,10,25,5.000,1,1,0
A14,cap200div2,424242,p185,EASY,true,none,1,3,2,642,642,5,200.000,157,1,1
A14,cap200div2,424242,p186,EASY,true,none,1,5,0,910,910,5,200.000,295,1,1
A14,cap200div2,424242,p187,HARD,true,vegetarian,1,2,2,196,140,20,70.000,31,1,0
A14,cap200div2,424242,p188,HARD,true,none,1,3,0,270,143,3,71.000,12,1,1
A14,cap200div2,424242,p189,EASY,true,none,7,5,1,392,392,42,196.000,881,7,7
A14,cap200div2,424242,p190,EASY,true,mediterranean,1,3,3,712,712,6,200.000,30,1,1
A14,cap200div2,424242,p191,HARD,true,none,7,4,0,638,638,28,200.000,1140,7,7
A14,cap200div2,424242,p192,EASY,true,halal,1,3,2,348,204,5,102.000,19,1,1
A14,cap200div2,424242,p193,EASY,true,none,1,3,1,910,910,4,200.000,121,1,1
A14,cap200div2,424242,p194,EASY,true,none,7,4,1,610,610,35,200.000,814,7,7
A14,cap200div2,424242,p195,EASY,true,none,7,3,0,723,664,21,200.000,814,7,7
A14,cap200div2,424242,p196,HARD,true,mediterranean,1,3,0,315,315,3,157.000,40,1,1
A14,cap200div2,424242,p197,ROBUSTNESS,true,none,7,9,0,488,488,63,200.000,1932,7,7
A14,cap200div2,424242,p198,EASY,true,none,1,3,1,741,500,4,200.000,43,1,1
A14,cap200div2,424242,p199,EASY,true,paleo,1,2,1,167,167,15,83.000,31,1,0
A14,cap200div2,424242,p200,EASY,true,none,1,3,0,910,910,3,200.000,109,1,1
