persona,tier,diet,satisfiable,dayOfWeek,inTolerance,binding,slots,filled,unfilled,pinnedAny,pinnedMax,pinnedMin,keto,kcalDeltaPct,proteinShortPct,fatShortPct,fatOverPct,carbShortPct,carbOverPct,poolAfterStack
p211,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,4,2,2,1,1,0,false,-0.317,0.835,0.006,0,0,0.095,17
p211,IMPOSSIBLE,vegan,false,4,false,STRUCTURAL,4,2,2,1,1,0,false,-0.406,0.837,0,0,0,0,17
p211,IMPOSSIBLE,vegan,false,5,false,STRUCTURAL,4,2,2,1,1,0,false,-0.452,0.874,0.005,0,0,0,17
p211,IMPOSSIBLE,vegan,false,6,false,STRUCTURAL,4,2,2,2,2,0,false,-0.444,0.825,0.113,0,0,0,17
p215,HARD,vegetarian,true,3,false,FAT_OUT_OF_BAND,5,5,0,2,2,0,false,0.115,0,0,0.793,0,0,68
p220,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,6,3,3,1,1,0,false,-0.221,0.834,0,0,0,0.964,18
p222,IMPOSSIBLE,vegan,false,0,false,STRUCTURAL,4,3,1,0,0,0,false,-0.086,0.776,0,0,0,0.963,17
p222,IMPOSSIBLE,vegan,false,1,false,STRUCTURAL,4,3,1,2,2,0,false,-0.114,0.709,0,0,0,0.718,17
p222,IMPOSSIBLE,vegan,false,2,false,STRUCTURAL,4,3,1,2,2,0,false,-0.21,0.774,0,0.535,0,0,17
p222,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,4,3,1,1,1,0,false,-0.141,0.887,0,0.969,0,0,17
p222,IMPOSSIBLE,vegan,false,4,false,STRUCTURAL,4,3,1,1,1,0,false,-0.026,0.701,0,0,0,1.138,17
p222,IMPOSSIBLE,vegan,false,5,false,STRUCTURAL,4,3,1,2,2,0,false,-0.4,0.829,0,0,0.065,0,17
p222,IMPOSSIBLE,vegan,false,6,false,STRUCTURAL,4,3,1,2,2,0,false,-0.127,0.789,0,1.002,0,0,17
p227,IMPOSSIBLE,vegan,false,0,false,STRUCTURAL,3,3,0,1,1,0,false,0.112,0.592,0,0,0,1.32,20
p227,IMPOSSIBLE,vegan,false,1,false,STRUCTURAL,3,3,0,0,0,0,false,0.001,0.75,0,0.533,0,0.536,20
p227,IMPOSSIBLE,vegan,false,2,false,STRUCTURAL,3,3,0,1,1,0,false,-0.041,0.74,0,0,0,1.019,20
p227,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,3,3,0,1,1,0,false,-0.025,0.714,0,1.032,0,0.087,20
p227,IMPOSSIBLE,vegan,false,4,false,STRUCTURAL,3,3,0,0,0,0,false,0.005,0.756,0,0.707,0,0.668,20
p227,IMPOSSIBLE,vegan,false,5,false,STRUCTURAL,3,3,0,2,1,1,false,0.026,0.618,0,0,0,1.131,20
p227,IMPOSSIBLE,vegan,false,6,false,STRUCTURAL,3,3,0,2,2,0,false,-0.437,0.821,0,0,0,0,20
p228,ROBUSTNESS,keto,true,3,false,CARB_OUT_OF_BAND,5,5,0,1,1,0,true,0,0,0,0,0,1.632,53
p229,EASY,vegan,true,0,false,PINNED_AT_BOUND,6,6,0,5,0,5,false,0.162,0,0,0.95,0,0,89
p229,EASY,vegan,true,1,false,PINNED_AT_BOUND,6,6,0,3,0,3,false,0.132,0,0,0.322,0,0.313,89
p229,EASY,vegan,true,2,false,PINNED_AT_BOUND,6,6,0,4,2,3,false,0.169,0.044,0,1.032,0,0.034,89
p229,EASY,vegan,true,3,false,PINNED_AT_BOUND,6,6,0,4,0,4,false,0.127,0,0,0.714,0,0.047,89
p229,EASY,vegan,true,4,false,PINNED_AT_BOUND,6,6,0,4,0,4,false,0.086,0,0,0.797,0,0,89
p229,EASY,vegan,true,6,false,PINNED_AT_BOUND,6,6,0,4,0,4,false,0.204,0.019,0,0.579,0,0.397,89
p230,EASY,none,true,0,false,FAT_OUT_OF_BAND,5,5,0,0,0,0,false,0.031,0,0,0.37,0,0,279
p230,EASY,none,true,2,false,PINNED_AT_BOUND,5,5,0,4,3,2,false,0.128,0,0,0.896,0,0,279
p230,EASY,none,true,3,false,PINNED_AT_BOUND,5,5,0,1,0,1,false,0.055,0,0,0.493,0,0,279
p230,EASY,none,true,4,false,PINNED_AT_BOUND,5,5,0,3,1,2,false,0.08,0,0,0.67,0.001,0,279
p230,EASY,none,true,6,false,PINNED_AT_BOUND,5,5,0,1,0,1,false,0.113,0,0,0.723,0,0,279
p237,EASY,none,true,0,false,PINNED_AT_BOUND,8,8,0,7,0,7,false,0.07,0,0,0.603,0.002,0,853
p237,EASY,none,true,1,false,PINNED_AT_BOUND,8,8,0,6,0,6,false,0.069,0,0,0.313,0,0.03,853
p237,EASY,none,true,5,false,FAT_OUT_OF_BAND,8,8,0,0,0,0,false,0.044,0,0,0.417,0,0,853
p238,EASY,vegan,true,3,false,PINNED_AT_BOUND,6,6,0,4,3,4,false,0.042,0.048,0,0.478,0,0,98
p245,HARD,none,true,0,false,PINNED_AT_BOUND,7,7,0,7,0,7,false,0.332,0.001,0,1.118,0,0.416,162
p245,HARD,none,true,2,false,PINNED_AT_BOUND,7,7,0,6,2,6,false,0.772,0,0,2.68,0,0.64,162
p245,HARD,none,true,3,false,POOL_EXHAUSTED,7,4,3,3,0,3,false,-0.079,0,0,0.316,0,0,162
p248,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,6,3,3,2,2,0,false,-0.322,0.79,0,0,0,0.019,12
