recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrj2uacl0861wlwsq73zkxi3,"Bajan Salt Bread Recipe",meal,1534.74,43.7,19.75,296.89,1.29,2.85,19.34,0.1158
cmrj2uaef086ewlwsvhzoui1w,"Bajan Sweet Bread",meal,2623.76,57.61,89.56,413.65,3.41,2.2,15.77,0.3072
cmrj2uah80871wlwslnzyji8w,"Blini Pancakes",meal,498.39,17.31,19.93,65.72,4,3.47,13.19,0.3599
cmrj2uaj8087gwlwsssnykonm,"Boulangère Potatoes",meal,807.6,20,15.49,155.85,1.92,2.48,19.3,0.1726
cmrj2uakl087rwlws1kub28pz,"Brazilian cheese bread (pão de queijo)",meal,1367.69,25.55,76.01,146.38,5.56,1.87,10.7,0.5002
cmrj2uam90886wlwsrkvcrhbr,"Breadfruit in Butter Sauce",meal,723.48,8.14,58.89,46.64,8.14,1.13,6.45,0.7326
cmrj2uaq0088zwlwstkx3w45w,"Bulgarian Green Salad",meal,251.36,6.38,14.44,27.97,5.75,2.54,11.13,0.5171
cmrj2uauc089vwlwsuogmt93e,"Cacik",meal,525.94,41.64,35.02,12.39,6.66,7.92,2.36,0.5992
cmrj2uaxq08alwlws9uanbdzn,"Cheese Borek",meal,3626.74,76.11,224.48,324.83,6.19,2.1,8.96,0.5571
cmrj2uazu08b2wlwsopvn06o7,"Chilean Dobladitas",meal,1466.27,48.49,11.11,293.85,0.76,3.31,20.04,0.0682
cmrj2ub1c08bfwlws7u9b9e38,"Colombian Buñuelos Recipe",meal,1368.3,19.6,87,124,6.36,1.43,9.06,0.5722
cmrj2ub3t08c0wlwsqpb80uv0,"Corba",meal,242.5,11.3,8.14,34.01,3.36,4.66,14.03,0.3021
cmrj2ub7508crwlwsev2i4d3x,"Corn on the cob with lime, green chilli and coconut butter",meal,870.04,16.42,52.01,104.6,5.98,1.89,12.02,0.5381
cmrj2uba708dgwlwssfpkdu9w,"Curried Spinach from Botswana",meal,186.54,3.59,14.59,13.48,7.82,1.92,7.23,0.704
cmrj2ubf408ekwlws5p5iy5o1,"Fainá",meal,633.51,22.45,33.96,58.12,5.36,3.54,9.17,0.4824
cmrj2ubgk08evwlwszi09nv2e,"Fennel Dauphinoise",meal,920.11,19.62,80.19,33.09,8.72,2.13,3.6,0.7844
cmrj2ubif08fawlws1xwzh7m0,"Feteer Meshaltet",meal,1974.05,28.21,123,193.32,6.23,1.43,9.79,0.5608
cmrj2ubnv08gfwlwso38bc2z9,"Griddled flatbreads",meal,1055.6,21.3,16.4,206.4,1.55,2.02,19.55,0.1398
cmrj2ubpc08gqwlwspidl00zi,"Haft Mewa Recipe",meal,839.8,18.7,41.4,117.1,4.93,2.23,13.94,0.4437
cmrj2ubrh08h7wlwsp9fwff0y,"Hummus",meal,467.71,19.66,19.31,57.27,4.13,4.2,12.25,0.3715
cmrj2ubss08hiwlwsbvb6pxfp,"Jajek",meal,239.3,16.87,7.16,26.83,2.99,7.05,11.21,0.2692
