recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrujkwsl006iwl9oefvecucc,"Mediterranean Salmon & Onions with Bulgur",meal,551.5,39,29.9,33.6,5.42,7.07,6.09,0.4879
cmrujkwsv0070wl9o45sq626p,"Mediterranean Tuna & Cucumber with Bulgur",meal,345.1,35.08,11.42,25.91,3.31,10.16,7.51,0.2979
cmrujkwsy0076wl9ouycfmtwn,"Mediterranean Tuna & Onions with Bulgur",meal,378.74,39.04,10.81,33.56,2.85,10.31,8.86,0.2568
cmrujkwue009owl9ogm49bcf5,"Classic Chicken & Broccoli with Potato",meal,499.1,45.81,15.06,45.42,3.02,9.18,9.1,0.2716
cmrujkwuh009uwl9ohi26dm66,"Classic Chicken & Bell Peppers with Potato",meal,489.8,43.78,14.93,43.32,3.05,8.94,8.84,0.2743
cmrujkwur00acwl9otwtkb6j1,"Classic Ground Beef & Broccoli with Potato",meal,660.5,43.4,34.13,45.42,5.17,6.57,6.88,0.465
cmrujkwuv00aiwl9ojjf66d82,"Classic Ground Beef & Bell Peppers with Potato",meal,651.2,41.37,33.99,43.32,5.22,6.35,6.65,0.4698
cmrujkwv400b0wl9o92br7q6l,"Classic Salmon & Broccoli with Potato",meal,607.1,38.16,30.71,45.42,5.06,6.29,7.48,0.4552
cmrujkwv700b6wl9oxun2mj32,"Classic Salmon & Bell Peppers with Potato",meal,597.8,36.13,30.57,43.32,5.11,6.04,7.25,0.4603
cmrujkwvg00bowl9om7w4rqwf,"Classic Eggs & Broccoli with Potato",meal,377.6,23.61,10.61,48.96,2.81,6.25,12.97,0.2528
cmrujkwvk00buwl9o5qzvdm2i,"Classic Eggs & Bell Peppers with Potato",meal,368.3,21.58,10.47,46.86,2.84,5.86,12.72,0.2559
cmrul1dpc000cwlk4zi4cf92b,"High-Protein Seitan & Onions with Potato",meal,415.5,47.11,8.65,44.5,2.08,11.34,10.71,0.1875
cmrul1dr1002uwlk4ciqy9xhm,"High-Protein Turkey & Onions with Potato",meal,396.8,41.67,6.67,43.67,1.68,10.5,11.01,0.1512
cmrul1drc003cwlk4zubbgxpt,"High-Protein White Fish & Onions with Potato",meal,386.3,36.53,9.66,37.7,2.5,9.46,9.76,0.2251
cmrul1drj003owlk4da3a1214,"High-Protein Egg White & Bell Peppers with Potato",meal,355.3,32.57,5.44,43.04,1.53,9.17,12.11,0.1377
cmrul4e31000iwl68w4qqdate,"High-Protein Seitan & Bell Peppers with Potato",meal,416.3,47.25,8.84,43.7,2.12,11.35,10.5,0.191
cmrul4e3g0010wl68z63se003,"High-Protein TVP & Broccoli with Potato",meal,403.1,35.37,6.12,55.5,1.52,8.77,13.77,0.1366
cmrul4e56003uwl68dqyh2cax,"High-Protein Chicken & Onions with Potato",meal,451.5,49.61,10.5,37.7,2.32,10.99,8.35,0.2092
cmrul4e5o004owl68pu4zv6hg,"High-Protein Tuna & Bell Peppers with Potato",meal,386.3,43,6.67,36.9,1.73,11.13,9.55,0.1553
cmrul4e63005cwl68h153kd2q,"High-Protein Turkey & Broccoli with Potato",meal,406.9,43.83,6.98,44.96,1.72,10.77,11.05,0.1544
cmrul4e6k0066wl6862s2m9jl,"High-Protein Shrimp & Onions with Potato",meal,379.8,45.4,5.73,38.04,1.51,11.95,10.02,0.1358
cmrul4e720070wl688wh3ur8e,"High-Protein White Fish & Bell Peppers with Potato",meal,387.1,36.67,9.84,36.9,2.54,9.47,9.53,0.2288
cmrul4e7l007uwl68g96btgat,"High-Protein Egg White & Broccoli with Potato",meal,364.6,34.59,5.57,45.13,1.53,9.49,12.38,0.1375
cmrul79s3000owl80butlyu2m,"High-Protein Seitan & Broccoli with Potato",meal,425.6,49.27,8.97,45.8,2.11,11.58,10.76,0.1897
cmrul79t20026wl80wuogryrp,"High-Protein TVP & Bell Peppers with Potato",meal,393.8,33.35,5.99,53.4,1.52,8.47,13.56,0.1368
cmrul79vp006iwl808lg7km1w,"High-Protein Chicken & Broccoli with Potato",meal,461.6,51.77,10.81,39,2.34,11.22,8.45,0.2107
cmrul79vt006owl80149rmasx,"High-Protein Chicken & Bell Peppers with Potato",meal,452.3,49.75,10.68,36.9,2.36,11,8.16,0.2124
cmrul79w8007cwl80rx3fv1w7,"High-Protein Tuna & Broccoli with Potato",meal,395.6,45.02,6.8,39,1.72,11.38,9.86,0.1547
cmrul79x5008uwl80sum6se6m,"High-Protein Turkey & Bell Peppers with Potato",meal,397.6,41.81,6.85,42.87,1.72,10.51,10.78,0.155
cmrul79xr009uwl80trvev40l,"High-Protein Shrimp & Broccoli with Potato",meal,389.9,47.57,6.05,39.34,1.55,12.2,10.09,0.1395
cmrul79xu00a0wl808sfjerjt,"High-Protein Shrimp & Bell Peppers with Potato",meal,380.6,45.54,5.91,37.24,1.55,11.97,9.78,0.1398
cmrul79yd00auwl802b3wg576,"High-Protein White Fish & Broccoli with Potato",meal,396.4,38.69,9.98,39,2.52,9.76,9.84,0.2265
cms7pjmhf0009wlbka81epe7z,"Steamed Cod with New Potatoes and Dill",meal,417.71,43.17,7.04,46.94,1.69,10.34,11.24,0.1517
cms7pjmi1000wwlbk8yoezv92,"Baked Salmon with Buttered Asparagus",meal,559.32,45.75,38.41,8.26,6.87,8.18,1.48,0.618
cms7pjmig001bwlbksrghymuq,"Steak with Garlic Mushrooms",meal,517.75,57.4,29.17,6.51,5.63,11.09,1.26,0.5071
cms7pjmin001iwlbkoa0s5p3p,"Egg and Avocado Breakfast Plate",meal,485.41,23.92,39.55,13.67,8.15,4.93,2.82,0.7333
cms7pjmk1002wwlbknnq20wmp,"Apple with Almond Butter",snack,556.8,7.61,16.29,105.18,2.93,1.37,18.89,0.2633
cms7pjmk80030wlbkykqmlu59,"Hummus with Carrot and Cucumber",snack,259.2,8.37,16.38,24.07,6.32,3.23,9.28,0.5688
cms7pjmks003ewlbkbzjiva2m,"Hard-Boiled Eggs with Chilli Salt",snack,188.82,15.74,13.34,1.82,7.07,8.33,0.96,0.636
